First Name;Last Name;Sex;Birth Date;Birth Country;Salary;SalaryCurrency;CompanyRole
Lenore;Hilbert;Female;14.10.1980;Romania;9900;4;0
Amber;Osterberg;Female;23.07.1986;Jersey;8800;2;1
Ronni;Millsap;Female;03.01.1982;Faroe Islands;9300;1;2
Lou;Bevil;Male;12.06.1993;Denmark;5200;2;1
Lela;Stidham;Female;19.11.1990;Greece;6400;3;2
Maile;Shirkey;Female;18.11.1985;Sweden;5800;4;3
Lon;Hutcherson;Male;19.01.1987;Belgium;6300;3;3
Olevia;Pattillo;Female;08.12.1992;Hungary;6700;0;4
Kym;Begley;Female;12.02.1987;Andorra;5800;2;0
Marvel;Wilczynski;Female;16.11.1991;Latvia;6500;2;0
Melinda;Hennig;Female;26.11.1977;Malta;8100;4;3
Whitney;Berlanga;Male;17.05.1985;Finland;7500;2;4
Thu;Presutti;Female;21.10.1994;Iceland;9900;2;1
Ezequiel;Raminez;Male;20.11.1982;Russian Federation;6200;3;1
Toshiko;Wisecarver;Female;05.08.1990;Austria;7800;3;1
Allena;Voll;Female;26.07.1981;Macedonia (the former Yugoslav Republic of);7200;1;2
Jean;Suess;Male;15.10.1987;United Kingdom of Great Britain and Northern Ireland;7000;2;2
Jennie;Gatchell;Female;03.09.1981;Gibraltar;5700;3;4
Carlton;Vanduyne;Male;07.03.1990;Ukraine;9200;4;0
Louise;Depuy;Female;12.05.1988;Netherlands;6500;2;2
Lorelei;Mcmorris;Female;04.04.1988;Moldova (Republic of);7700;3;2
Sanjuanita;Bryson;Female;08.05.1977;Norway;8600;1;2
Pete;Archambeault;Male;18.03.1977;Belarus;8700;4;2
Yvone;Sedlacek;Female;20.12.1990;Italy;9600;2;0
Eloy;Norsworthy;Male;01.06.1988;France;9300;1;2
Yong;Urban;Male;03.10.1992;Serbia;6300;3;0
Delaine;Zastrow;Female;29.04.1981;San Marino;8400;3;0
Xochitl;Rodrigez;Female;20.01.1982;Germany;6200;2;0
Raleigh;Alton;Male;02.09.1987;Luxembourg;5700;4;4
Kimberely;Boatwright;Female;09.05.1978;Ireland;6500;0;0
Daisy;Pineau;Female;20.05.1987;?land Islands;5900;3;4
Antoinette;Watkin;Female;22.01.1991;Lithuania;5000;1;1
Nickole;Baine;Female;09.06.1993;Slovenia;7000;1;4
Dylan;Keithley;Male;11.12.1993;Croatia;6200;3;0
Camila;Cannella;Female;03.03.1986;Bosnia and Herzegovina;6000;0;0
Dorthey;Phares;Female;21.07.1979;Switzerland;5700;1;5
Krishna;Killough;Female;30.09.1980;Montenegro;6000;3;1
Dortha;Arnette;Female;14.10.1989;Poland;6800;3;4
Estelle;Belz;Female;23.06.1990;Slovakia;7400;1;3
Stacey;Sokolowski;Male;19.11.1977;Monaco;7400;2;1
Valeri;Groom;Female;26.08.1994;Bulgaria;5300;1;0
Louis;Wilkey;Male;17.08.1994;Holy See;7700;3;0
Genevieve;Legault;Female;01.02.1988;Isle of Man;5000;2;5
Dominick;Carn;Male;01.03.1981;Guernsey;5000;3;0
Romelia;Schoepp;Female;05.06.1982;Svalbard and Jan Mayen;8300;2;3
Yon;Mutchler;Female;14.02.1982;Estonia;9900;1;4
Eulah;Littleton;Female;21.09.1988;Liechtenstein;6800;2;0
Tijuana;Farless;Female;17.10.1983;Spain;9800;1;4
